artist,song,year
Rascal Flatts,Life Is A Highway,2006
Fergie,Fergalicious,2006
Teddy Geiger,For You I Will (Confidence),2006
Rihanna & Jay-Z,Umbrella,2007
Fergie,Big Girls Don't Cry (Personal),2007
Gwen Stefani & Akon,The Sweet Escape,2007
Timbaland & Keri Hilson,The Way I Are,2007
Nelly Furtado,Say It Right,2007
Plain White T's,Hey There Delilah,2007
Avril Lavigne,Girlfriend,2007
Timbaland & Nelly Furtado & Justin Timberlake,Give It To Me,2007
Justin Timberlake,What Goes Around Comes Around,2007
Fergie & Ludacris,Glamorous,2007
Kanye West,Stronger,2007
Carrie Underwood,Before He Cheats,2007
Maroon 5,Makes Me Wonder,2007
Akon,Don't Matter,2007
Sean Kingston,Beautiful Girls,2007
Beyonce,Irreplaceable,2007
T-Pain & Yung Joc,Buy U A Drank (Shawty Snappin'),2007
Beyonce & Shakira,Beautiful Liar,2007
The Fray,How To Save A Life,2007
Soulja Boy,Crank That (Soulja Boy),2007
Timbaland & OneRepublic,Apologize,2007
50 Cent & Justin Timberlake & Timbaland,Ayo Technology,2007
Linkin Park,What I've Done,2007
Mika,Grace Kelly,2007
Gym Class Heroes & Patrick Stump,Cupid's Chokehold,2007
Nickelback,Rockstar,2007
Alicia Keys,No One,2007
Akon,Smack That,2007
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",2007
Daughtry,Home,2007
Fall Out Boy,Thnks Fr Th Mmrs,2007
Snow Patrol,Chasing Cars,2007
Amy Winehouse,Rehab,2007
Pink,U & Ur Hand,2007
Akon & Snoop Dogg,I Wanna Love You,2007
Mims,This Is Why I'm Hot,2007
Daughtry,It's Not Over,2007
Avril Lavigne,When You're Gone,2007
Nelly Furtado,All Good Things (Come To An End),2007
Colbie Caillat,Bubbly,2007
P Diddy & Keyshia Cole,Last Night,2007
Enrique Iglesias,Do You Know (The Ping Pong Song),2007
Justin Timberlake,LoveStoned,2007
Justin Timberlake & T.I.,My Love,2007
Rihanna,Shut Up & Drive,2007
Shop Boyz,Party Like A Rockstar,2007
Elliott Yamin,Wait For You,2007
Ne-Yo,Because Of You,2007
Pink,Who Knew,2007
T-Pain & Akon,Bartender,2007
Ciara,Like A Boy,2007
Britney Spears,Gimme More,2007
J.holiday,Bed,2007
Fergie,Fergalicious,2007
Finger Eleven,Paralyzer,2007
Christina Aguilera,Candyman,2007
Nickelback,If Everyone Cared,2007
Omarion,Ice Box,2007
Justin Timberlake,Summer Love,2007
Michael Buble,Everything,2007
James Blunt,1973,2007
Rihanna & Ne-Yo,Hate That I Love You,2007
Robin Thicke,Lost Without You,2007
Maroon 5,Wake Up Call,2007
Kanye West & T-Pain,Good Life,2007
Fabolous & Ne-Yo,Make Me Better,2007
Akon,Sorry Blame It On Me,2007
Keyshia Cole & Missy 'Misdemeanor' Elliott & Lil' Kim,Let It Go,2007
Red Hot Chili Peppers,"Snow, Hey Oh",2007
Plies & T-Pain,Shawty,2007
Kelly Clarkson,Never Again,2007
Rihanna,Don't Stop The Music,2007
Huey,"Pop, Lock & Drop It",2007
Chris Brown & T-Pain,Kiss Kiss,2007
Baby Bash & T-Pain,Cyclone,2007
Christina Aguilera,Hurt,2007
Unk,Walk It Out,2007
The Foo Fighters,The Pretender,2007
Hurricane Chris,A Bay Bay,2007
R Kelly,I'm A Flirt,2007
Baby Boy Da'prince,The Way I Live,2007
Ludacris & Mary J Blige,Runaway Love,2007
Lloyd & Lil' Wayne,You,2007
Matchbox Twenty,How Far We've Come,2007
Lloyd,Get It Shawty,2007
Boys Like Girls,The Great Escape,2007
The Red Jumpsuit Apparatus,Face Down,2007
Mika,Relax (Take It Easy),2007
DJ ~-tzi & Nik P.,Ein Stern (... der deinen Namen tragt),2007
Taylor Swift,Teardrops On My Guitar,2007
Hellogoodbye,Here in your Arms,2007
Bon Jovi,(You Want To) Make A Memory,2007
Justin Timberlake,SexyBack,2007
Jim Jones,We Fly High,2007
Lifehouse,First Time,2007
Ville Valo & Natalia Avelon,Summer Wine,2007
Gwen Stefani,4 In The Morning,2007
The Kaiser Chiefs,Ruby,2007
P Diddy & Christina Aguilera,Tell Me,2007
Gwen Stefani,Wind It Up,2007
Leona Lewis,Bleeding Love,2008
Timbaland & OneRepublic,Apologize,2008
Katy Perry,I Kissed A Girl,2008
Flo-Rida & T-Pain,Low,2008
Coldplay,Viva la vida,2008
Madonna & Justin Timberlake,Four Minutes,2008
Duffy,Mercy,2008
Jordin Sparks & Chris Brown,No Air,2008
Rihanna,Take A Bow,2008
Rihanna,Don't Stop The Music,2008
Ne-Yo,Closer,2008
Rihanna,Disturbia,2008
Alicia Keys,No One,2008
Estelle & Kanye West,American Boy,2008
Kid Rock,All Summer Long,2008
Chris Brown,Forever,2008
Sara Bareilles,Love Song,2008
Chris Brown,With You,2008
Usher & Young Jeezy,Love In This Club,2008
Pink,So What,2008
OneRepublic,Stop & Stare,2008
Lil' Wayne,Lollipop,2008
Leona Lewis,Better In Time,2008
Jason Mraz,I am yours,2008
The Pussycat Dolls,When I Grow Up,2008
Gabriella Cilmi,Sweet About Me,2008
Katy Perry,Hot 'n' cold,2008
Kardinal Offishall & Akon,Dangerous,2008
Mark Ronson & Amy Winehouse,Valerie,2008
T.I.,Whatever You Like,2008
Mariah Carey,Touch My Body,2008
Yael Naim,New Soul,2008
Natasha Bedingfield,Pocketful Of Sunshine,2008
Amy Macdonald,This Is The Life,2008
Miley Cyrus,See You Again,2008
Britney Spears,Piece Of Me,2008
Ray J & Yung Berg,Sexy Can I,2008
Colbie Caillat,Bubbly,2008
Jordin Sparks,Tattoo,2008
Metro Station,Shake It,2008
T.I. & Rihanna,Live Your Life,2008
Lady GaGa & Colby O'Donis,Just Dance,2008
Jesse McCartney,Leavin',2008
MIA,Paper Planes,2008
Three Doors Down,It's Not My Time,2008
Linkin Park,Shadow Of The Day,2008
Beyonce,If I Were A Boy,2008
Soulja Boy,Crank That (Soulja Boy),2008
Ne-Yo,Miss Independent,2008
Britney Spears,Womanizer,2008
Guru Josh Project,Infinity 2008,2008
Kanye West,Love Lockdown,2008
Sean Kingston,Take You There,2008
Ich & Ich,So soll es bleiben,2008
Lupe Fiasco,Superstar,2008
Lil' Wayne & T-Pain,Got Money,2008
Madonna,Give It 2 Me,2008
September,Cry For You,2008
Finger Eleven,Paralyzer,2008
Flo-Rida & will.i.am,In The Ayer,2008
Coldplay,Violet Hill,2008
Snoop Dogg,Sensual Seduction,2008
Buckcherry,Sorry,2008
Cascada,What Hurts The Most,2008
Rihanna & Ne-Yo,Hate That I Love You,2008
Danity Kane,Damaged,2008
Lil' Wayne,A Milli,2008
Nickelback,Rockstar,2008
Secondhand Serenade,Fall For You,2008
Colby O'Donis & Akon,What You Got,2008
Fergie,Clumsy,2008
Plies & Ne-Yo,Bust It Baby Part 2,2008
T-Pain & Lil' Wayne,Can't Believe It,2008
Akon,"Right Now (Na, Na, Na)",2008
Maroon 5,Won't Go Home Without You,2008
Taylor Swift,Our Song,2008
Kevin Rudolf & Lil' Wayne,Let It Rock,2008
Ida Corr & Fedde Le Grand,Let Me Think About It,2008
Duffy,Warwick Avenue,2008
Ich & Ich,Stark,2008
Gavin Rossdale,Love Remains The Same,2008
Jordin Sparks,One Step At A Time,2008
Flo-Rida & Timbaland,Elevator,2008
"Webbie, Lil' Phat & Lil' Boosie",Independent,2008
Miley Cyrus,7 Things,2008
John Mayer,Say,2008
Jennifer Hudson,Spotlight,2008
Chris Brown & T-Pain,Kiss Kiss,2008
Stefanie Heinzmann,My Man Is A Mean Man,2008
Colbie Caillat,Realize,2008
Timbaland & Keri Hilson,The Way I Are,2008
Schnuffel,Kuschel Song,2008
Taylor Swift,Teardrops On My Guitar,2008
Kings of Leon,Sex On Fire,2008
Jonas Brothers,Burning Up,2008
Alicia Keys,Like You'll Never See Me Again,2008
Britney Spears,Break The Ice,2008
The Killers,Human,2008
Kelly Rowland,Work,2008
David Archuleta,Crush,2008
Lady GaGa,Poker Face,2009
The Black Eyed Peas,I Gotta Feeling,2009
The Black Eyed Peas,Boom Boom Pow,2009
Lady GaGa & Colby O'Donis,Just Dance,2009
Pitbull,I Know You Want Me (Calle Ocho),2009
Kings of Leon,Use Somebody,2009
Flo-Rida & Ke$ha,Right Round,2009
Beyonce,Halo,2009
Katy Perry,Hot 'n' cold,2009
Taylor Swift,Love Story,2009
David Guetta & Akon,Sexy Chick (Sexy Bitch),2009
Jason Mraz,I am yours,2009
All-American Rejects,Gives You Hell,2009
Lady GaGa,Paparazzi,2009
Kid Cudi & Crookers,Day 'N' Nite,2009
David Guetta & Kelly Rowland,When Love Takes Over,2009
Kelly Clarkson,My Life Would Suck Without You,2009
T.I. & Justin Timberlake,Dead & Gone,2009
Miley Cyrus,The Climb,2009
Keri Hilson & Kanye West & Ne-Yo,Knock You Down,2009
Taylor Swift,You Belong With Me,2009
Lady GaGa,LoveGame,2009
Cascada,Evacuate The Dancefloor,2009
James Morrison & Nelly Furtado,Broken Strings,2009
Beyonce,Single Ladies (Put A Ring On It),2009
Pink,Sober,2009
Beyonce,Sweet Dreams,2009
Pink,Please Don't Leave Me,2009
Soulja Boy & Sammie,Kiss Me Thru The Phone,2009
Jay Sean & Lil' Wayne,Down,2009
The Fray,You Found Me,2009
The Killers,Human,2009
Linkin Park,New Divide,2009
Kanye West,Heartless,2009
Kevin Rudolf & Lil' Wayne,Let It Rock,2009
Coldplay,Viva la vida,2009
"Jay-Z, Rihanna & Kanye West",Run This Town,2009
Shakira,She Wolf,2009
Shinedown,Second Chance,2009
Beyonce,If I Were A Boy,2009
Sean Kingston,Fire Burning,2009
Katy Perry,Waking Up In Vegas,2009
Britney Spears,Circus,2009
Pitbull,Hotel Room Service,2009
Kings of Leon,Sex On Fire,2009
3OH!3,Don't Trust Me,2009
The Pussycat Dolls,I Hate This Part,2009
Jay-Z & Alicia Keys,Empire State Of Mind,2009
Gossip,Heavy Cross,2009
Britney Spears,Womanizer,2009
Milow,Ayo Technology,2009
Miley Cyrus,Party In The U.S.A.,2009
T.I. & Rihanna,Live Your Life,2009
The Black Eyed Peas,Meet Me Half Way,2009
A R Rahman & The Pussycat Dolls,Jai Ho (You Are My Destiny),2009
Akon,Beautiful,2009
Pink,So What,2009
Jamie Foxx & T-Pain,Blame It,2009
Flo-Rida & Wynter,Sugar,2009
Jason Derulo,Whatcha Say,2009
Jordin Sparks,Battlefield,2009
Drake,Best I Ever Had,2009
Guru Josh Project,Infinity 2008,2009
Lily Allen,The Fear,2009
Mariah Carey,Obsessed,2009
Emiliana Torrini,Jungle Drum,2009
Cobra Starship,Good Girls Go Bad,2009
Green Day,21 Guns,2009
Mando Diao,Dance With Somebody,2009
Ciara & Justin Timberlake,Love Sex Magic,2009
Cassandra Steen & Adel Tawil,Stadt,2009
Eminem,We Made You,2009
Ne-Yo,Mad,2009
Jeremih,Birthday Sex,2009
Enrique Iglesias & Ciara,Takin' Back My Love,2009
Razorlight,Wire To Wire,2009
Lily Allen,Not Fair,2009
The Veronicas,Untouched,2009
Colbie Caillat,Falling For You,2009
Katy Perry,Thinking Of You,2009
Kelly Clarkson,Already Gone,2009
"Eminem, Dr Dre & 50 Cent",Crack A Bottle,2009
Akon,"Right Now (Na, Na, Na)",2009
Silbermond,Irgendwas bleibt,2009
Owl City,Fireflies,2009
Peter Fox,Haus am See,2009
Britney Spears,If U Seek Amy,2009
Lady GaGa,Bad Romance,2009
Robbie Williams,Bodies,2009
Rihanna,Rehab,2009
Daughtry,No Surprise,2009
Marit Larsen,If A Song Could Get Me You,2009
Rihanna,Disturbia,2009
Justin Bieber,One Time,2009
Madonna,Celebration,2009
Polarkreis 18,Allein allein,2009
Nickelback,If Today Was Your Last Day,2009
Nickelback,Gotta Be Somebody,2009
Britney Spears,3,2009
Rihanna,Russian Roulette,2009
Ke$ha,Tik-Toc,2010
Lady GaGa,Bad Romance,2010
Train,"Hey, Soul Sister",2010
Rihanna & Eminem,Love The Way You Lie,2010
Katy Perry & Snoop Dogg,California Gurls,2010
Taio Cruz,Dynamite,2010
Lady GaGa & Beyonce,Telephone,2010
Taio Cruz & Ludacris,Break Your Heart,2010
Shakira & Freshly Ground,Waka Waka (This Time For Africa),2010
Lady GaGa,Alejandro,2010
The Black Eyed Peas,I Gotta Feeling,2010
BoB & Hayley Williams,Airplanes,2010
Usher & will.i.am,OMG,2010
Enrique Iglesias & Pitbull,I Like It,2010
Rihanna,Rude Boy,2010
Jason Derulo,In My Head,2010
Yolanda Be Cool & DCup,We No Speak Americano,2010
Owl City,Fireflies,2010
Iyaz,Replay,2010
Lady Antebellum,Need You Now,2010
Stromae,Alors on danse,2010
Eminem,Not Afraid,2010
Usher & Pitbull,DJ Got Us Fallin' In Love,2010
Jay-Z & Alicia Keys,Empire State Of Mind,2010
Flo-Rida & David Guetta,Club Can't Handle Me,2010
Katy Perry,Teenage Dream,2010
Bruno Mars,Just The Way You Are (Amazing),2010
Edward Maya,Stereo Love,2010
Justin Bieber & Ludacris,Baby,2010
Rihanna,Only Girl (In The World),2010
David Guetta & Kid Cudi,Memories,2010
BoB & Bruno Mars,Nothin' On You,2010
The Black Eyed Peas,Meet Me Half Way,2010
K'naan,Wavin' Flag,2010
David Guetta & Akon,Sexy Chick (Sexy Bitch),2010
Adam Lambert,What Do You Want From Me?,2010
Mike Posner,Cooler Than Me,2010
Travie McCoy & Bruno Mars,Billionaire,2010
David Guetta & Chris Willis,Getting Over You,2010
Unheilig,Geboren um zu leben,2010
Jason Derulo,Ridin' Solo,2010
Ke$ha,Your Love Is My Drug,2010
Jason Derulo,Whatcha Say,2010
Timbaland & Katy Perry,If We Ever Meet Again,2010
The Black Eyed Peas,Rock That Body,2010
Young Money & Lloyd,BedRock,2010
Michael Buble,Haven't Met You Yet,2010
The Script,Breakeven,2010
OneRepublic,All The Right Moves,2010
"Far East Movement, Cataracs & Dev",Like A G6,2010
The Black Eyed Peas,Imma Be,2010
Cheryl Cole,Fight For This Love,2010
Nelly,Just A Dream,2010
Timbaland & Justin Timberlake,Carry Out,2010
Lena Meyer-Landrut,Satellite,2010
Keri Hilson,I Like,2010
Israel Kamakawiwo'ole,Over The Rainbow,2010
OneRepublic,Secrets,2010
Rihanna,Russian Roulette,2010
Cee-Lo Green,F**k You/Forget You,2010
Drake,Find Your Love,2010
Jay Sean & Lil' Wayne,Down,2010
"Jay Sean, Sean Paul & Lil' Jon",Do You Remember?,2010
La Roux,Bulletproof!,2010
Kylie Minogue,All The Lovers,2010
Ke$ha,Take It Off,2010
Jay-Z & Mr Hudson,Young Forever,2010
Pink,Raise Your Glass,2010
Ke$ha & 3OH!3,"Blah, Blah, Blah",2010
Taylor Swift,Mine,2010
Madcon,Glow,2010
Lady GaGa,Paparazzi,2010
Alicia Keys,Empire State Of Mind (Part II) Broken Down,2010
Hurts,Wonderful Life,2010
BoB & Rivers Cuomo,Magic,2010
Trey Songz & Fabolous,Say Aah,2010
Maroon 5,Misery,2010
3OH!3 & Ke$ha,My First Kiss,2010
Gossip,Heavy Cross,2010
Selena Gomez & The Scene,Naturally,2010
Neon Trees,Animal,2010
Die Atzen,Disco Pogo,2010
Ludacris,How Low,2010
"Timbaland, Nelly Furtado & SoShy",Morning After Dark,2010
Miley Cyrus,Can't Be Tamed,2010
Sean Kingston & Justin Bieber,Eenie Meenie,2010
Plan B,She Said,2010
Velile & Safri Duo,Helele,2010
Shontelle,Impossible,2010
Alicia Keys,Try Sleeping With A Broken Heart,2010
Trey Songz & Nicki Minaj,Bottoms Up,2010
The Black Eyed Peas,The Time (Dirty Bit),2010
Katy Perry,Firework,2010
Justin Bieber,Somebody To Love,2010
Chris Brown,Deuces,2010
Duck Sauce,Barbra Streisand,2010
Miley Cyrus,Party In The U.S.A.,2010
Drake,Over,2010
Adam Lambert,If I Had You,2010
Aura Dione,I Will Love You Monday (365),2010
Adele,Rolling In The Deep,2011
LMFAO,Party Rock Anthem,2011
"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything,2011
Jennifer Lopez & Pitbull,On The Floor,2011
Bruno Mars,Grenade,2011
Maroon 5 & Christina Aguilera,Moves Like Jagger,2011
Adele,Someone Like You,2011
Katy Perry,Firework,2011
Lady GaGa,Born This Way,2011
Rihanna,S&M,2011
Katy Perry & Kanye West,E.T.,2011
The Black Eyed Peas,Just Can't Get Enough,2011
Lady GaGa,The Edge Of Glory,2011
Alexandra Stan,Mr Saxobeat,2011
Bruno Mars,The Lazy Song,2011
Bruno Mars,Just The Way You Are (Amazing),2011
Jessie J & BoB,Price Tag,2011
Nicki Minaj,Super Bass,2011
Foster the People,Pumped Up Kicks,2011
Rihanna & Calvin Harris,We Found Love,2011
Katy Perry,Last Friday Night (TGIF),2011
Cee-Lo Green,F**k You/Forget You,2011
Pink,F**kin' Perfect,2011
Martin Solveig,Hello,2011
The Black Eyed Peas,The Time (Dirty Bit),2011
Enrique Iglesias & Ludacris,Tonight (I'm F**kin' You),2011
P Diddy & Skylar Grey,Coming Home,2011
Adele,Set Fire To The Rain,2011
"David Guetta, Flo-Rida & Nicki Minaj",Where Them Girls At,2011
David Guetta & Usher,Without You,2011
"Britney Spears, Nicki Minaj & Ke$ha",Till The World Ends,2011
Snoop Dogg & David Guetta,Sweat,2011
Chris Brown,Yeah 3X,2011
Rihanna,Only Girl (In The World),2011
Taio Cruz & Kylie Minogue & Travie McCoy,Higher,2011
LMFAO,Sexy And I Know It,2011
Bad Meets Evil & Bruno Mars,Lighters,2011
OneRepublic,Good Life,2011
Usher,More,2011
Gym Class Heroes,Stereo Hearts,2011
Pitbull & T-Pain,Hey Baby (Drop It To The Floor),2011
Jeremih & 50 Cent,Down On Me,2011
Pink,Raise Your Glass,2011
Wiz Khalifa,Black & Yellow,2011
David Guetta & Rihanna,Who's That Chick?,2011
Jason Derulo,Don't Wanna Go Home,2011
Rihanna & Drake,What's My Name?,2011
Cobra Starship & Sabi,You Make Me Feel,2011
"Dr Dre, Eminem & Skylar Grey",I Need A Doctor,2011
Lupe Fiasco,The Show Goes On,2011
Hot Chelle Rae,"Tonight, Tonight",2011
Lady Antebellum,Just A Kiss,2011
Christina Perri,Jar Of Hearts,2011
Chris Brown & Lil' Wayne,Look At Me Now,2011
Ke$ha,Blow,2011
Britney Spears,I Wanna Go,2011
Pitbull & Marc Anthony,Rain Over Me,2011
Coldplay,Every Teardrop Is A Waterfall,2011
Lil' Wayne,How To Love,2011
Beyonce,Best Thing I Never Had,2011
Lucenzo & Don Omar,Danza kuduro,2011
Flo-Rida,Good Feeling,2011
Avril Lavigne,What The Hell,2011
Taio Cruz,Dynamite,2011
Ke$ha,We R Who We R,2011
Coldplay,Paradise,2011
Kanye West,All Of The Lights,2011
Lady GaGa,You & I,2011
Rihanna,California King Bed,2011
Tinie Tempah & Eric Turner,Written In The Stars,2011
The Band Perry,If I Die Young,2011
Britney Spears,Hold It Against Me,2011
Nicki Minaj,Moment 4 Life,2011
Jason Derulo,It Girl,2011
Sean Paul & Alexis Jordan,Got 2 Luv U,2011
DJ Antoine & Timati,Welcome To St. Tropez,2011
Israel Kamakawiwo'ole,Over The Rainbow,2011
Jason Aldean & Ludacris,Dirt Road Anthem,2011
Chris Brown & Benny Benassi,Beautiful People,2011
"David Guetta, Taio Cruz & Ludacris",Little Bad Girl,2011
David Guetta & Sia,Titanium,2011
Rihanna,Cheers (Drink To That),2011
Usher & Pitbull,DJ Got Us Fallin' In Love,2011
"DJ Khaled, Drake & Rick Ross",I'm On One,2011
Lady GaGa,Judas,2011
Kelly Rowland & Lil' Wayne,Motivation,2011
Kelly Clarkson,Mr Know It All,2011
Eli Young Band,Crazy Girl,2011
"Far East Movement, Cataracs & Dev",Like A G6,2011
Far East Movement & Ryan Tedder,Rocketeer,2011
Bruno Mars,It Will Rain,2011
The Script,For The First Time,2011
Wiz Khalifa,Roll Up,2011
Nelly,Just A Dream,2011
Drake,Headlines,2011
Jennifer Lopez & Lil' Wayne,I'm Into You,2011
Tim Bendzko,Nur noch kurz die Welt retten,2011
Dev,In The Dark,2011
Sunrise Avenue,Hollywood Hills,2011
Lil' Wayne & Corey Gunz,6 Foot 7 Foot,2011
Gotye & Kimbra,Somebody That I Used To Know,2012
Carly Rae Jepsen,Call Me Maybe,2012
fun.,We Are Young,2012
Maroon 5 & Wiz Khalifa,Payphone,2012
Nicki Minaj,Starships,2012
Flo-Rida,Whistle,2012
Flo-Rida & Sia,The Wild Ones,2012
David Guetta & Sia,Titanium,2012
Rihanna & Calvin Harris,We Found Love,2012
Kelly Clarkson,Stronger (What Doesn't Kill You),2012
Alex Clare,Too Close,2012
Train,Drive By,2012
LMFAO,Sexy And I Know It,2012
fun.,Some Nights,2012
One Direction,What Makes You Beautiful,2012
Adele,Set Fire To The Rain,2012
Psy,Gangnam Style,2012
Flo-Rida,Good Feeling,2012
Maroon 5,One More Night,2012
Ellie Goulding,Lights,2012
David Guetta & Nicki Minaj,Turn Me On,2012
Rihanna,Where Have You Been?,2012
The Wanted,Glad You Came,2012
Katy Perry,Wide Awake,2012
Michel Telo,Ai se eu te pego!,2012
Owl City & Carly Rae Jepsen,Good Time,2012
Rihanna,Diamonds,2012
Adele,Someone Like You,2012
Jason Mraz,I Won't Give Up,2012
Pink,Blow Me (One Last Kiss),2012
Rihanna & Drake,Take Care,2012
Maroon 5 & Christina Aguilera,Moves Like Jagger,2012
LMFAO,Party Rock Anthem,2012
Taylor Swift,We Are Never Ever Getting Back Together,2012
Jessie J,Domino,2012
"Snoop Dogg, Wiz Khalifa & Bruno Mars",Young Wild Free,2012
Katy Perry,Part Of Me,2012
Chris Brown,Don't Wake Me Up,2012
Pitbull,Back In Time,2012
Usher,Scream,2012
Of Monsters And Men,Little Talks,2012
Justin Bieber,Boyfriend,2012
Avicii,Levels,2012
Justin Bieber & Big Sean,As Long As You Love Me,2012
Jay-Z & Kanye West,Niggas in Paris,2012
Coldplay,Paradise,2012
Pitbull & Chris Brown,International Love,2012
Lykke Li,I Follow Rivers,2012
Neon Trees,Everybody Talks,2012
Adele,Rolling In The Deep,2012
Drake & Lil' Wayne,The Motto,2012
Adele,Skyfall,2012
Calvin Harris,Feel So Close,2012
Ed Sheeran,The 'A' Team,2012
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2012
"Kanye West, Big Sean, Pusha T & 2 Chainz",Mercy,2012
Bruno Mars,Locked Out Of Heaven,2012
Linkin Park,Burn It Down,2012
David Guetta & Usher,Without You,2012
Asaf Avidan,One Day/Reckoning Song,2012
Jennifer Lopez & Pitbull,To Dance Again,2012
Demi Lovato,Give Your Heart A Break,2012
Katy Perry,The One That Got Away,2012
Bruno Mars,It Will Rain,2012
Flo-Rida,I Cry,2012
The Lumineers,Ho Hey,2012
Nicki Minaj,Pound The Alarm,2012
Lana Del Rey,Video Games,2012
Alicia Keys & Nicki Minaj,Girl On Fire,2012
Ke$ha,Die Young,2012
Hunter Hayes,Wanted,2012
Phil Phillips,Home,2012
Calvin Harris & Ne-Yo,Let's Go,2012
Chris Brown,Turn Up The Music,2012
Skrillex & Sirah,Bangarang,2012
Sean Paul,She Doesn't Mind,2012
Gym Class Heroes & Neon Hitch,Ass Back Home,2012
Gusttavo Lima,Balada,2012
Loreen,Euphoria,2012
Karmin,Broken hearted,2012
Tyga,Rack City,2012
Foster the People,Pumped Up Kicks,2012
Die Toten Hosen,Tage wie diese,2012
Mumford & Sons,I'll Wait,2012
Swedish House Mafia & John Martin,Don't You Worry Child,2012
David Guetta & Sia,She Wolf (Falling To Pieces),2012
Cher Lloyd & Astro,Want U Back,2012
BoB,So Good,2012
The Wanted,Chasing The Sun,2012
One Direction,One Thing,2012
Luke Bryan,Drunk On You,2012
Train,50 Ways To Say Goodbye,2012
Olly Murs & Rizzle Kicks,Heart Skips A Beat,2012
Coldplay & Rihanna,Princess Of China,2012
Emeli Sande,Next To Me,2012
2 Chainz,No Lie,2012
Eric Church,Springsteen,2012
The Script & will.i.am,Hall Of Fame,2012
Taio Cruz & Flo-Rida,Hangover,2012
Adele,Rumour Has It,2012
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,2013
Macklemore & Ryan Lewis,Thrift Shop,2013
Imagine Dragons,Radioactive,2013
Macklemore & Ryan Lewis,Can't Hold Us,2013
Daft Punk & Pharrell Williams,Get Lucky,2013
Pink & Nate Ruess,Just Give Me A Reason,2013
Avicii,Wake Me Up,2013
Justin Timberlake,Mirrors,2013
will.i.am & Britney Spears,Scream & Shout,2013
Rihanna & Mikky Ekko,Stay,2013
The Lumineers,Ho Hey,2013
Bruno Mars,When I Was Your Man,2013
Passenger,Let Her Go,2013
Bruno Mars,Locked Out Of Heaven,2013
Katy Perry,Roar,2013
Icona Pop & Charli XCX,I Love It,2013
Taylor Swift,I Knew You Were Trouble,2013
Capital Cities,Safe And Sound,2013
OneRepublic,Counting Stars,2013
Lorde,Royals,2013
Miley Cyrus,We Can't Stop,2013
Rihanna,Diamonds,2013
Psy,Gangnam Style,2013
Bruno Mars,Treasure,2013
Miley Cyrus,Wrecking Ball,2013
Pitbull & Christina Aguilera,Feel This Moment,2013
Calvin Harris & Ellie Goulding,I Need Your Love,2013
Swedish House Mafia & John Martin,Don't You Worry Child,2013
Jay-Z & Justin Timberlake,Holy Grail,2013
Lady GaGa,Applause,2013
Justin Timberlake & Jay-Z,Suit & Tie,2013
Drake & Majid Jordan,"Hold On, We're Going Home",2013
AWOLNATION,Sail,2013
Pink,Try,2013
Lana Del Rey & Cedric Gervais,Summertime Sadness,2013
Florida Georgia Line,Cruise,2013
Bastille,Pompeii,2013
Macklemore & Ryan Lewis,Same Love,2013
James Arthur,Impossible,2013
The Script & will.i.am,Hall Of Fame,2013
Olly Murs & Flo-Rida,Troublemaker,2013
Baauer,Harlem Shake,2013
Zedd & Foxes,Clarity,2013
Ellie Goulding,Burn,2013
Naughty Boy & Sam Smith,La La La,2013
Alicia Keys & Nicki Minaj,Girl On Fire,2013
Jason Derulo,The Other Side,2013
Selena Gomez,Come & Get It,2013
Calvin Harris & Florence Welch,Sweet Nothing,2013
Anna Kendrick,Cups (Pitch Perfect's 'When I'm Gone'),2013
John Newman,Love Me Again,2013
Martin Garrix,Animals,2013
Drake,Started From The Bottom,2013
Mumford & Sons,I'll Wait,2013
Imagine Dragons,Demons,2013
will.i.am & Justin Bieber,thatPOWER,2013
Fall Out Boy,My songs know what you did in the dark (Light 'em up),2013
Maroon 5,Daylight,2013
Imagine Dragons,It's Time,2013
Rihanna & Eminem,The Monster,2013
Ariana Grande,The Way,2013
Eminem,Berzerk,2013
Demi Lovato,Heart Attack,2013
Adele,Skyfall,2013
One Direction,Best Song Ever,2013
"David Guetta, Ne-Yo & Akon",Play Hard,2013
Lil' Wayne & Drake,Love Me,2013
J Cole & Miguel,PowerTrip,2013
Justin Bieber & Nicki Minaj,Beauty & A Beat,2013
Psy,Gentleman,2013
Of Monsters And Men,Little Talks,2013
Pitbull & Ke$ha,Timber,2013
Maroon 5,One More Night,2013
Maroon 5,Love Somebody,2013
"ASAP Rocky, Drake & 2 Chainz",Fuckin' Problems,2013
Phil Phillips,"Gone, Gone, Gone",2013
Olly Murs,Dear Darlin',2013
Taylor Swift,22,2013
Darius Rucker,Wagon Wheels,2013
Ylvis,The Fox,2013
Jason Derulo & 2 Chainz,Talk Dirty,2013
Stromae,Papaoutai,2013
Avicii,"Hey, Brother",2013
Wale & Tiara Thomas,Bad,2013
Ke$ha,Die Young,2013
Paramore,Still Into You,2013
Blake Shelton & Pistol Annies,Boys 'Round Here,2013
Birdy,People Help The People,2013
Lana Del Rey,Young & Beautiful,2013
Labrinth & Emeli Sande,Beneath Your Beautiful,2013
Mariah Carey & Miguel,Beautiful,2013
Emeli Sande,Next To Me,2013
